Seq,SOURCEID,RAdeg,DEdeg,e_Pos,RA,DEC,YAPERMAG3,J_1APERMAG3,HAPERMAG3,KAPERMAG3
3248,433836332776,17.797,-0.419,2.5,17.796705233347073,-0.4184033771531104,14.39107608795166,13.9712553024292,13.38759994506836,13.242218971252441
3258,433836332821,17.818,-0.42,2.1,17.818031300080985,-0.4198530583167046,19.163963317871094,18.402454376220703,18.028196334838867,16.9565486907959
3285,433830868984,17.912,0.176,3.2,17.911736247127457,0.17552468704372837,20.135822296142578,19.562097549438477,18.315900802612305,17.718994140625
3288,433832571082,17.926,0.004,2.8,17.926371797868697,0.003955717845132877,19.92729377746582,18.845531463623047,18.08819580078125,16.749675750732422
3290,433834359571,17.932,-0.32,2.8,17.931773066430555,-0.31998755151401065,20.18789291381836,,,17.812530517578125
3291,433830869079,17.94,0.161,4.6,17.940447651859696,0.16059062695701612,18.615427017211914,17.88690757751465,17.14321517944336,16.287723541259766
3292,433832571021,17.944,0.027,4.2,17.94400856393116,0.027489996738472414,18.855520248413086,18.075735092163086,17.502267837524414,16.61065673828125
3293,433836337730,17.944,-0.398,3.6,17.944349562730817,-0.39825200793743715,,,18.148046493530273,16.71116828918457
3294,433832570971,17.947,0.046,3.1,17.947911592264976,0.04554188004207001,19.929546356201172,,,
3295,433836337026,17.948,-0.457,4.0,17.94714434244192,-0.4581274969060482,19.493928909301758,18.739665985107422,18.006982803344727,17.200740814208984
3296,433836337047,17.952,-0.465,3.3,17.952603657810716,-0.46432991029801307,19.287952423095703,18.65481185913086,18.15768051147461,17.019893646240234
3297,433830869121,17.952,0.088,5.3,17.951269394059125,0.08742247003896007,19.765661239624023,19.14436149597168,,18.110204696655273
3298,433836337056,17.954,-0.427,2.2,17.95425379857478,-0.42685712844291807,19.404409408569336,18.969940185546875,18.58692741394043,17.35976219177246
3299,433836337075,17.955,-0.499,2.9,17.956299376123305,-0.49808181428917203,19.0747127532959,18.54140853881836,17.757863998413086,16.96611213684082
3300,433836337600,17.958,-0.439,3.6,17.957997451261097,-0.43953478093056847,,19.16924285888672,18.487085342407227,17.855243682861328
3301,433830869191,17.972,0.226,1.5,17.971602539365218,0.2256893273671239,17.972919464111328,17.26462173461914,16.341394424438477,15.448601722717285
3302,433834359394,17.973,-0.239,4.0,17.972288367301626,-0.24009641333776136,20.331029891967773,19.417688369750977,,
3303,433832571101,17.985,-0.004,2.2,17.98546273138292,-0.0048117992223443455,19.948976516723633,19.43887710571289,,18.174163818359375
3304,433829061195,17.993,0.377,2.3,17.992799179639565,0.37654869812227254,18.40862464904785,17.630849838256836,16.663131713867188,15.957985877990723
3305,433834359479,17.998,-0.271,1.9,17.99824701024448,-0.27063507844097995,18.927898406982422,18.29354476928711,17.437847137451172,16.56324577331543
3306,433836337244,18.002,-0.394,2.2,18.00237506250217,-0.3935793964765013,18.95417594909668,18.274324417114258,17.776914596557617,16.848276138305664
3307,433834359228,18.034,-0.148,4.8,18.033941433158752,-0.14863404376228326,20.151643753051758,19.028331756591797,,17.843347549438477
3310,433832571019,18.057,0.028,2.9,18.057587192609887,0.02927967182900271,18.754558563232422,18.303865432739258,17.940977096557617,17.11162757873535
3312,433836337402,18.059,-0.437,3.8,18.058376921979015,-0.437543922706226,19.194477081298828,18.791126251220703,17.99517250061035,17.01376724243164
3313,433834359719,18.126,-0.242,2.7,18.125687318243223,-0.24094933536298796,,,11.227682113647461,10.356523513793945
3316,433828761186,18.165,0.329,2.2,18.165368984251387,0.32877425800834903,18.915904998779297,18.342681884765625,17.245071411132812,16.343631744384766
3317,433828761313,18.166,0.404,4.3,18.166789055591533,0.40393876811080526,19.80548858642578,18.978723526000977,,
3318,433836018518,18.179,-0.396,3.6,18.17916291951747,-0.3956058012882917,17.831214904785156,17.048765182495117,16.34494972229004,15.539815902709961
3320,433836018253,18.201,-0.565,3.0,18.20054317297244,-0.5637733406012676,18.468595504760742,17.94818115234375,17.793031692504883,16.76094627380371
3322,433828761287,18.203,0.386,2.3,18.203802850947074,0.38631105549711336,19.627540588378906,18.70612144470215,18.361202239990234,16.85284996032715
3323,433836018374,18.216,-0.489,3.5,18.21620081697072,-0.4892257835106401,19.56544303894043,19.154491424560547,,17.707616806030273
3326,433832480709,18.228,-0.134,2.3,18.228451655345125,-0.13323325096481864,13.9520902633667,13.392376899719238,12.841995239257812,12.559767723083496
3327,433832480708,18.229,0.053,0.8,18.22886656052322,0.05365138489238124,16.819665908813477,16.406885147094727,15.639847755432129,14.549525260925293
3328,433832480696,18.235,0.062,2.7,18.23511394793036,0.062335477491790144,14.48784351348877,14.011906623840332,13.386438369750977,13.166003227233887
3334,433832480644,18.264,-0.066,2.4,18.263825530299236,-0.06584791148303061,17.380189895629883,16.852304458618164,16.123140335083008,15.605108261108398
3335,433828761176,18.267,0.322,1.4,18.26746709192805,0.32195006936841275,18.305147171020508,17.664318084716797,16.757986068725586,16.043107986450195
3336,433832480619,18.272,0.057,1.8,18.271825764968963,0.05647844508242495,19.384531021118164,18.78448486328125,18.219839096069336,17.09086799621582
3339,433828761423,18.277,0.465,2.5,18.276653825149445,0.4651565088039016,19.077913284301758,18.455141067504883,17.540285110473633,16.745189666748047
3342,433836018529,18.28,-0.39,0.9,18.279880214012945,-0.39057769054662134,12.441422462463379,12.011794090270996,11.459344863891602,11.209013938903809
3350,433832480514,18.316,-0.001,3.0,18.316154896169028,-0.00054875696476811,14.179933547973633,13.669059753417969,13.038590431213379,12.840970993041992
3352,433832536691,18.322,-0.077,2.7,18.323018185536327,-0.07669449497705139,15.860431671142578,15.417962074279785,14.861783981323242,14.656418800354004
3353,433834284059,18.323,-0.2,1.8,18.322795019900695,-0.19829083585216656,20.270410537719727,,,
3354,433828774084,18.328,0.482,2.6,18.328548872650053,0.4821499217528806,18.966760635375977,18.475496292114258,17.67584800720215,16.888669967651367
3355,433832536680,18.328,-0.069,4.0,18.328434220138977,-0.06819569048445204,19.266571044921875,18.548871994018555,17.733367919921875,16.9803466796875
3358,433830540561,18.339,0.101,3.2,18.339972991289958,0.09996905315990207,18.39154052734375,17.758766174316406,17.3836669921875,17.05886459350586
3361,433836021438,18.361,-0.434,1.3,18.36105246882646,-0.4341813730802642,18.882999420166016,18.161666870117188,17.85508918762207,16.74564552307129
3362,433832536615,18.362,0.019,1.4,18.361897512075974,0.01887336124983825,11.111659049987793,10.502026557922363,10.813968658447266,10.1572847366333
3363,433828774049,18.363,0.466,3.4,18.363639073640496,0.4667802468056465,19.20876693725586,18.542722702026367,17.627403259277344,16.606800079345703
3366,433834283968,18.373,-0.332,1.4,18.373316910329166,-0.3322490327792188,20.321327209472656,,18.468446731567383,
3367,433836021563,18.373,-0.365,2.8,18.373401936122765,-0.36461520941282033,19.487977981567383,19.56960105895996,,
3368,433828774006,18.377,0.44,3.1,18.37613301695977,0.44132615402091174,18.997154235839844,18.54388999938965,18.138961791992188,17.52582359313965
3369,433834283955,18.378,-0.163,2.4,18.377521098968472,-0.16331679279517883,18.415102005004883,17.818912506103516,17.06931495666504,16.347251892089844
3370,433836021484,18.38,-0.411,2.1,18.381021239668982,-0.41081504226287674,19.006885528564453,18.691526412963867,17.83241844177246,17.44257354736328
3374,433828774113,18.388,0.497,1.6,18.387682487485396,0.4967490786420185,15.833460807800293,15.15444278717041,14.438298225402832,14.04361343383789
3375,433830540892,18.39,0.263,3.0,18.39074029663233,0.26266447060092196,19.0108699798584,18.47220802307129,17.963342666625977,17.006765365600586
